"group","fmri_t_value","dti_t_value","is_non_null"
"null",0.185503953736303,1.39161550866424,0
"null",1.32748530620209,0.51624710372119,0
"null",1.37304277618243,0.581786363691004,0
"null",1.10395377835394,4.26165595244051,0
"null",0.366338425070912,1.1542354387525,0
"null",0.982353284937178,1.36488747635858,0
"null",1.73889499430103,0.0730249283392342,0
"null",0.278292647469367,0.95023201886831,0
"null",0.260041590739797,0.902308688108613,0
"null",0.405152685454602,0.985986184714275,0
"null",0.135821748524959,0.532811898118716,0
"null",1.25254546627757,0.205579982252516,0
"null",0.976667294397163,1.11764291201441,0
"null",1.0831302207123,0.457161907589128,0
"null",2.03900689607224,0.977095202624728,0
"null",0.833956841762601,0.508137683881604,0
"null",0.0256778415235987,0.195798174088041,0
"null",1.16344890378942,0.0606024715393502,0
"null",0.732962076886609,0.635395404941815,0
"null",0.190670071212693,0.752502552947218,0
"null",0.270734391142639,0.120459774939713,0
"null",0.865174817265297,0.565180747029447,0
"null",0.542112416864409,1.86124669360529,0
"null",1.47455180215514,0.995331492460109,0
"null",0.309627755717495,2.09032786162556,0
"non-null",2.84089244912071,2.43688401764769,1
"null",0.877567958657373,0.364765985339048,0
"null",0.473038904753792,0.844761292451881,0
"null",1.79119469728437,0.342062474460196,0
"null",0.107784520214722,0.43034117512169,0
"null",1.24728897210142,0.432128211368661,0
"null",1.07369423482035,1.07584073538716,0
"null",0.358926808671739,1.38464291088612,0
"null",0.854342182282065,1.45094753299228,0
"null",0.589352870170557,1.66138205063039,0
"null",0.389456742124668,0.294358142491589,0
"null",0.511851513351369,0.172613467669278,0
"null",0.555323717254306,0.4641189371532,0
"null",1.23580699157514,0.35424677278921,0
"null",0.570352567448739,1.12964519064,0
"null",0.263962153449055,1.22298322619396,0
"null",0.409607204994175,1.06334132565809,0
"null",1.2060535585915,1.68200376283972e-14,0
"null",0.00463205402951135,0.5020500123137,0
"null",1.42361191383462,1.46818852052901,0
"null",0.615678283863984,0.0842200324159223,0
"null",0.17704577743454,1.03900463675943,0
"null",0.859044488802967,0.244945710354429,0
"null",1.47759179763823,0.517353718915603,0
"null",1.47397172936165,0.419967203081757,0
"null",1.48243374504391,1.68200376283972e-14,0
"null",0.731528761933487,2.0520361661845,0
"null",0.158467788316387,1.49597496421199,0
"null",0.386957057718792,0.210766305878581,0
"null",0.412251024315392,0.48683380960359,0
"null",0.947305317165197,0.728510731622883,0
"null",1.08367040275073,0.635395404941815,0
"null",0.109163174628103,1.75406337825019,0
"null",0.821460648148152,0.762714760644534,0
"null",0.0382825758155808,0.07691537514865,0
"null",1.23217329839542,0.554846754325187,0
"null",0.537330541397738,0.398581630164902,0
"null",0.0141613094499827,0.502290824541886,0
"null",0.587723135955948,0.295916065963649,0
"null",0.98393182376623,0.384656456642518,0
"null",0.850442081162929,0.0339065818638867,0
"null",0.374582281007321,1.00001290967745,0
"null",0.862339633091186,1.13520693302008,0
"null",0.705400703110012,1.68200376283972e-14,0
"null",0.782585937975061,1.03260625718308,0
"null",0.107433735089608,1.62064656734693,0
"null",0.156908894830264,1.68200376283972e-14,0
"null",1.37571721180206,0.0873265508471307,0
"null",0.00725405804561806,0.598708238547547,0
"null",0.429761809666597,0.5695935489805,0
