"parameter","estimate"
"pi0",0.93
"pi0_t2",0.9083
"mu1",2.08303076431596
"alpha0",2.12476855383552
"beta0",2.71716157952177
"alpha1",1.14938974126148
"beta1",2.16642552125939
"alpha_s",1.93992871236498
"beta_s",2.18087418382892
"alpha_bimodal",2.03890859876801
