"procedure","power_at_c_star","rejection_cutoff"
"joint",0.573940644365679,2.21358421056045
"nonnull_enriched",0.540258421677493,2.29891521582962
"prior_refined",0.414376544286726,2.21630105267254
"baseline",0.374977667493947,2.31869825899555
